tick,lane,energy,coherence,fitness,best_fitness,delta,coupling,blend,decay,soliton_nd,mutations,improvements,stagnation,pressure_us
480000,6,0,65535,387,387,57,0,68,8,144,1820,1,0,4
480000,7,40960,65535,387,387,54,20,50,6,127,2452,1,0,4
485000,0,8192,65535,383,387,3,0,183,6,129,946,1,1,4
485000,1,192512,65535,386,387,5,90,32,7,130,2469,1,1,4
485000,2,0,65535,387,387,1,0,77,8,139,963,1,0,4
485000,3,258048,65535,387,387,54,112,32,6,148,2534,1,14,4
485000,4,0,65535,387,387,15,0,150,8,124,329,1,0,4
485000,5,59392,65535,387,387,11,17,119,7,126,2342,1,3,4
485000,6,8192,65535,383,387,57,0,68,8,144,1820,1,1,4
485000,7,45056,65535,386,387,68,18,55,6,127,2480,1,1,4
490000,0,0,65535,387,387,3,0,183,6,129,946,1,0,4
490000,1,188416,65535,387,387,10,76,32,8,130,2486,1,4,4
490000,2,8192,65535,383,387,1,0,77,8,139,963,1,1,4
490000,3,208896,65535,387,387,71,87,53,6,148,2569,1,33,4
490000,4,8192,65535,383,387,15,0,150,8,124,329,1,1,4
490000,5,55296,65535,387,387,16,27,110,5,126,2358,1,0,4
490000,6,0,65535,387,387,57,0,68,8,144,1820,1,0,4
490000,7,67584,65535,387,387,80,25,67,8,127,2499,1,2,4
495000,0,8192,65535,383,387,3,0,183,6,129,946,1,1,4
495000,1,200704,65535,387,387,17,86,41,8,130,2505,1,3,4
495000,2,0,65535,387,387,1,0,77,8,139,963,1,0,4
495000,3,227328,65535,387,387,23,95,99,8,148,2608,1,72,4
495000,4,0,65535,387,387,15,0,150,8,124,329,1,0,4
495000,5,45056,65535,387,387,14,13,72,2,126,2385,1,12,4
495000,6,8192,65535,383,387,57,0,68,8,144,1820,1,1,4
495000,7,57344,65535,387,387,63,12,32,8,127,2530,1,27,4
499900,0,0,65535,387,387,3,0,183,6,129,946,1,0,5
499900,1,182272,65535,387,387,30,89,46,8,130,2521,1,0,5
499900,2,8192,65535,383,387,1,0,77,8,139,963,1,1,5
499900,3,264192,65535,387,387,33,113,95,8,148,2647,1,111,5
499900,4,8192,65535,383,387,15,0,150,8,124,329,1,1,5
499900,5,51200,65535,386,387,14,22,82,4,126,2402,1,1,5
499900,6,0,65535,387,387,57,0,68,8,144,1820,1,0,5
499900,7,32768,65535,387,387,41,0,60,6,127,2569,1,66,5
